0.011,0.00819144
0.0271,0.0200162
0.0448,0.0327881
0.0458,0.0335025
0.0625,0.0453188
0.0815,0.0584987
0.0828,0.0593901
0.1088,0.0769391
0.113,0.0797237
0.1314,0.0917571
0.1424,0.0988215
0.1483,0.102571
0.171,0.116733
0.1828,0.12393
0.1885,0.127366
0.1961,0.131906
0.2478,0.161539
0.2639,0.170319
0.2773,0.177464
0.2874,0.182752
0.2942,0.186265
0.3057,0.192119
0.3301,0.204179
0.3414,0.209597
0.3593,0.217966
0.3664,0.221212
0.3874,0.23057
0.3903,0.231834
0.3925,0.232788
0.3949,0.233825
0.4469,0.255121
0.471,0.264241
0.4856,0.269537
0.5162,0.280075
0.5754,0.298326
0.6423,0.3156
0.6496,0.317273
0.7163,0.330644
0.7288,0.332771
0.7302,0.333002
0.7581,0.337292
0.7971,0.342313
0.7976,0.34237
0.8166,0.3444
0.8402,0.346554
0.8486,0.347223
0.89,0.349777
0.8968,0.350079
0.9041,0.350368
0.936,0.351187
0.9517,0.35133
0.9655,0.351314
0.9811,0.35114
1.0207,0.349955
1.0293,0.349559
1.0641,0.347456
1.07,0.34702
1.118,0.342644
1.1232,0.342082
1.1376,0.340435
1.1397,0.340184
1.177,0.33527
1.1941,0.332732
1.2078,0.330571
1.2181,0.328872
1.2183,0.328838
1.239,0.32523
1.2597,0.32137
1.2821,0.316912
1.2857,0.316169
1.2997,0.313209
1.3064,0.311753
1.3068,0.311665
1.3502,0.301619
1.3771,0.294874
1.3961,0.289878
1.3967,0.289717
1.4257,0.281716
1.4275,0.281205
1.4388,0.277959
1.4454,0.276034
1.4803,0.265487
1.4933,0.261405
1.4994,0.259461
1.5016,0.258755
1.5118,0.255454
1.5511,0.242273
1.5646,0.23758
1.5716,0.235113
1.5864,0.229826
1.5869,0.229646
1.5962,0.226272
1.6107,0.220935
1.6204,0.217314
1.641,0.20949
1.6522,0.205161
1.6657,0.199873
1.7167,0.179236
1.7209,0.177491
1.7359,0.171204
1.737,0.17074
1.7555,0.162862
1.7756,0.15416
1.7765,0.153767
1.7832,0.150832
1.7945,0.145847
1.7966,0.144916
1.8098,0.139026
1.8345,0.127847
1.888,0.102961
1.9061,0.0943434
1.9228,0.0863082
1.9427,0.0766312
1.95,0.0730543
1.9688,0.0637779
1.977,0.0597032
2.0132,0.0415176
2.0261,0.0349629
2.0377,0.0290368
2.041,0.0273456
2.0646,0.0151839
2.0704,0.0121776
2.108,-0.00746694
2.1511,-0.0302859
2.1586,-0.0342862
2.1591,-0.0345532
2.1603,-0.0351941
2.1744,-0.0427392
2.1791,-0.0452603
2.2025,-0.0578528
2.2218,-0.0682863
2.266,-0.0923143
2.2758,-0.0976627
2.2964,-0.108924
2.305,-0.113632
2.3204,-0.12207
2.3456,-0.135893
2.3513,-0.139022
2.3637,-0.145828
2.3639,-0.145938
2.3779,-0.153622
2.3884,-0.159383
2.4173,-0.175228
2.4612,-0.199222
2.5002,-0.220414
2.5019,-0.221334
2.5095,-0.225444
2.523,-0.232728
2.5667,-0.25613
